id,date_observed,time_observed,latitude,longitude,common_name
297,24/09/2022,01:08:34,1.3866962,103.7731645,Red Junglefowl
298,24/09/2022,01:25:53,1.386397101,103.7730551,Red Junglefowl
299,25/09/2022,02:42:24,1.321933333,103.8153778,Red Junglefowl
300,21/05/2022,09:18:29,1.307173804,103.8185471,Red Junglefowl
301,08/09/2022,08:20:54,1.295564,103.8485407,Red Junglefowl
302,17/10/2022,06:20:17,1.424783045,103.8379971,Red Junglefowl
303,18/10/2022,08:28:23,1.424783045,103.8379971,Red Junglefowl
304,23/10/2022,02:10:21,1.348546158,103.7641991,Red Junglefowl
305,20/10/2022,10:13:49,1.428896948,103.8394388,Red Junglefowl
306,24/10/2022,00:05:02,1.283105556,103.8265806,Red Junglefowl
307,28/10/2022,03:48:00,1.348542135,103.7641991,Red Junglefowl
308,28/10/2022,03:47:46,1.348542135,103.7641991,Red Junglefowl
309,30/10/2022,00:08:21,1.356406192,103.8497096,Red Junglefowl
310,30/10/2022,00:31:10,1.360486362,103.8487813,Red Junglefowl
311,04/11/2022,07:18:00,1.35277315,103.8198359,Red Junglefowl
312,22/10/2022,09:00:30,1.297852,103.782107,Red Junglefowl
313,19/11/2022,23:37:40,1.288088889,103.822675,Red Junglefowl
314,20/11/2022,03:36:33,1.335891951,103.8184582,Red Junglefowl
315,22/11/2022,23:40:39,1.287844444,103.8232222,Red Junglefowl
316,25/11/2022,06:07:20,1.280647,103.841474,Red Junglefowl
317,27/11/2022,05:42:31,1.311107578,103.8143611,Red Junglefowl
318,27/11/2022,05:13:02,1.311107578,103.8143611,Red Junglefowl
319,27/11/2022,04:33:15,1.311107578,103.8143611,Red Junglefowl
320,27/11/2022,04:57:38,1.311107578,103.8143611,Red Junglefowl
321,27/11/2022,03:01:50,1.322311558,103.8149267,Red Junglefowl
322,25/11/2022,04:58:27,1.359809965,103.8266715,Red Junglefowl
323,29/11/2022,08:29:00,1.359487185,103.8268659,Red Junglefowl
324,30/11/2022,04:16:44,1.337519722,103.8210751,Red Junglefowl
325,04/12/2022,02:22:55,1.348186841,103.7753249,Red Junglefowl
326,10/12/2022,08:27:50,1.312665868,103.760158,Red Junglefowl
327,08/12/2022,07:02:25,1.342357326,103.8353266,Red Junglefowl
328,11/12/2022,00:50:02,1.282254735,103.8670062,Red Junglefowl
329,12/12/2022,23:28:51,1.284797222,103.8263,Red Junglefowl
330,19/12/2022,10:14:42,1.321219519,103.8156006,Red Junglefowl
